file_a,file_b,sample_key,pearson_r,n_common_rxns
[May1920230406]CFR_ct11_obj1_data10_metadata.json,[Nov2020252131]CFR_ct1_obj1_data10_metadata.json,obj1_data10,0.9949192727174085,3917
[May1920230406]CFR_ct11_obj1_data11_metadata.json,[Nov2020252131]CFR_ct1_obj1_data11_metadata.json,obj1_data11,0.9999999999999998,3917
[May1920230406]CFR_ct11_obj1_data12_metadata.json,[Nov2020252131]CFR_ct1_obj1_data12_metadata.json,obj1_data12,0.7993660479451312,3917
[May1920230406]CFR_ct11_obj1_data13_metadata.json,[Nov2020252131]CFR_ct1_obj1_data13_metadata.json,obj1_data13,0.9996420562552715,3917
[May1920230406]CFR_ct11_obj1_data14_metadata.json,[Nov2020252131]CFR_ct1_obj1_data14_metadata.json,obj1_data14,0.9574932257600596,3917
[May1920230406]CFR_ct11_obj1_data15_metadata.json,[Nov2020252131]CFR_ct1_obj1_data15_metadata.json,obj1_data15,nan,3917
[May1920230406]CFR_ct11_obj1_data16_metadata.json,[Nov2020252131]CFR_ct1_obj1_data16_metadata.json,obj1_data16,0.9366530437079396,3917
[May1920230406]CFR_ct11_obj1_data17_metadata.json,[Nov2020252131]CFR_ct1_obj1_data17_metadata.json,obj1_data17,0.9012453090441306,3917
[May1920230406]CFR_ct11_obj1_data18_metadata.json,[Nov2020252131]CFR_ct1_obj1_data18_metadata.json,obj1_data18,0.99816866606371,3917
[May1920230406]CFR_ct11_obj1_data19_metadata.json,[Nov2020252131]CFR_ct1_obj1_data19_metadata.json,obj1_data19,0.9375260504286368,3917
[May1920230406]CFR_ct11_obj1_data1_metadata.json,[Nov2020252131]CFR_ct1_obj1_data1_metadata.json,obj1_data1,0.28948706617116876,3917
[May1920230406]CFR_ct11_obj1_data20_metadata.json,[Nov2020252131]CFR_ct1_obj1_data20_metadata.json,obj1_data20,0.9735038145581653,3917
[May1920230406]CFR_ct11_obj1_data21_metadata.json,[Nov2020252131]CFR_ct1_obj1_data21_metadata.json,obj1_data21,0.9835095713801457,3917
[May1920230406]CFR_ct11_obj1_data22_metadata.json,[Nov2020252131]CFR_ct1_obj1_data22_metadata.json,obj1_data22,0.9901746576015801,3917
[May1920230406]CFR_ct11_obj1_data23_metadata.json,[Nov2020252132]CFR_ct1_obj1_data23_metadata.json,obj1_data23,0.848952854489996,3917
[May1920230406]CFR_ct11_obj1_data24_metadata.json,[Nov2020252132]CFR_ct1_obj1_data24_metadata.json,obj1_data24,0.9617239313715666,3917
[May1920230406]CFR_ct11_obj1_data25_metadata.json,[Nov2020252132]CFR_ct1_obj1_data25_metadata.json,obj1_data25,0.9719347962856599,3917
[May1920230406]CFR_ct11_obj1_data26_metadata.json,[Nov2020252132]CFR_ct1_obj1_data26_metadata.json,obj1_data26,0.9958739428315306,3917
[May1920230406]CFR_ct11_obj1_data27_metadata.json,[Nov2020252132]CFR_ct1_obj1_data27_metadata.json,obj1_data27,0.9822026625370739,3917
[May1920230406]CFR_ct11_obj1_data28_metadata.json,[Nov2020252132]CFR_ct1_obj1_data28_metadata.json,obj1_data28,0.9951122307856878,3917
[May1920230406]CFR_ct11_obj1_data29_metadata.json,[Nov2020252132]CFR_ct1_obj1_data29_metadata.json,obj1_data29,0.9922037840483194,3917
[May1920230406]CFR_ct11_obj1_data2_metadata.json,[Nov2020252131]CFR_ct1_obj1_data2_metadata.json,obj1_data2,0.3586494589920667,3917
[May1920230406]CFR_ct11_obj1_data30_metadata.json,[Nov2020252132]CFR_ct1_obj1_data30_metadata.json,obj1_data30,0.9673715373610332,3917
[May1920230406]CFR_ct11_obj1_data3_metadata.json,[Nov2020252131]CFR_ct1_obj1_data3_metadata.json,obj1_data3,0.33257186814930717,3917
[May1920230406]CFR_ct11_obj1_data4_metadata.json,[Nov2020252131]CFR_ct1_obj1_data4_metadata.json,obj1_data4,0.289980232376622,3917
[May1920230406]CFR_ct11_obj1_data5_metadata.json,[Nov2020252131]CFR_ct1_obj1_data5_metadata.json,obj1_data5,0.36386724865009057,3917
[May1920230406]CFR_ct11_obj1_data6_metadata.json,[Nov2020252131]CFR_ct1_obj1_data6_metadata.json,obj1_data6,0.3338237678960033,3917
[May1920230406]CFR_ct11_obj1_data7_metadata.json,[Nov2020252131]CFR_ct1_obj1_data7_metadata.json,obj1_data7,0.7166272527931388,3917
[May1920230406]CFR_ct11_obj1_data8_metadata.json,[Nov2020252131]CFR_ct1_obj1_data8_metadata.json,obj1_data8,0.7198932471062434,3917
[May1920230406]CFR_ct11_obj1_data9_metadata.json,[Nov2020252131]CFR_ct1_obj1_data9_metadata.json,obj1_data9,0.9946350501323024,3917
